ms_subclass,lot_frontage,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,bldg_type,overall_qual,mas_vnr_area,exter_qual,foundation,bsmt_exposure,heating_qc,central_air,kitchen_qual,functional,fireplaces,garage_finish,garage_cars,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,mo_sold,sale_price,total_sq_ft,total_bathroom,ga_oq_sf,lf_sf,op_sf3,op_oq3,oc_sf,kq_f_lf,pd_oq,gq_sf
60,4.30406509320417,None,1.0986122886681098,Lvl,1.3862943611198906,CulDSac,1.0986122886681098,Sawyer,RRAe,1Fam,6,5.66988092298052,1.3862943611198906,CBlock,0.6931471805599453,1.3862943611198906,Y,1.0986122886681098,1.6094379124341003,0.0,1,2.0,1.0986122886681098,1.0986122886681098,0.0,3.8066624897703196,3,11.779136168550774,7.6984827878809465,2.5,15.653103602735667,11.988494826751309,26.8782771447388,9.15957325492253,9.777527425407923,0.0,2.5649493574615367,4408.0
60,3.784189633918261,None,1.0986122886681098,Lvl,1.3862943611198906,CulDSac,1.0986122886681098,SawyerW,Norm,1Fam,7,4.890349128221754,1.3862943611198906,PConc,0.6931471805599453,1.3862943611198906,Y,1.0986122886681098,1.6094379124341003,0.6931471805599453,1,2.0,1.0986122886681098,1.0986122886681098,0.0,4.31748811353631,4,12.301387370778713,8.01829613851552,3.5,16.290026409907764,11.779174481699469,28.35796520368545,10.141834937592611,9.62747051161485,4.465908118654584,2.70805020110221,6070.0
20,4.23410650459726,None,1.3862943611198906,Lvl,1.3862943611198906,Inside,1.0986122886681098,NAmes,Norm,1Fam,5,0.0,1.0986122886681098,CBlock,0.6931471805599453,1.0986122886681098,Y,1.0986122886681098,1.6094379124341003,0.0,1,1.0,1.0986122886681098,1.0986122886681098,0.0,3.970291913552122,1,11.599112335481124,7.656810091480378,2.0,14.771106999379414,11.875851828007049,26.92025521787401,8.77971129020447,9.602314889901848,0.0,2.3978952727983707,4228.0
60,4.30406509320417,None,1.3862943611198906,Lvl,1.3862943611198906,Inside,1.0986122886681098,Timber,Norm,1Fam,5,0.0,1.0986122886681098,PConc,0.6931471805599453,1.0986122886681098,Y,1.0986122886681098,1.6094379124341003,0.0,2,2.0,1.0986122886681098,1.0986122886681098,4.61512051684126,0.0,4,12.066816325306588,7.511524648390866,2.5,15.111880485079116,11.801444686914571,0.0,0.0,9.12052506765382,0.0,2.3978952727983707,3656.0
50,4.418840607796598,None,1.0986122886681098,Lvl,1.3862943611198906,Inside,1.0986122886681098,SawyerW,Norm,1Fam,6,0.0,1.0986122886681098,PConc,0.6931471805599453,1.0986122886681098,Y,1.0986122886681098,1.6094379124341003,0.0,1,2.0,1.0986122886681098,0.0,0.0,4.0943445622221,3,11.83863282480007,7.660114319173928,2.0,15.633487492863253,12.066367951516296,27.056466307601543,9.452894316810216,9.739143428972826,0.0,0.0,4242.0
20,4.927253685157205,None,1.0986122886681098,Lvl,1.3862943611198906,Corner,1.0986122886681098,NAmes,PosA,1Fam,6,0.0,1.3862943611198906,CBlock,0.6931471805599453,1.3862943611198906,Y,1.0986122886681098,1.3862943611198906,0.6931471805599453,2,2.0,1.0986122886681098,1.0986122886681098,0.0,0.0,6,12.154784614286667,8.133293861222633,2.5,16.284333641168516,13.05298328810109,0.0,0.0,9.924808634239811,5.616771097666572,2.5649493574615367,6810.0
180,3.58351893845611,None,1.3862943611198906,Lvl,1.3862943611198906,Inside,1.0986122886681098,Edwards,Norm,TwnhsE,6,4.418840607796598,1.0986122886681098,PConc,1.3862943611198906,1.0986122886681098,Y,1.0986122886681098,1.6094379124341003,0.0,2,2.0,1.0986122886681098,1.0986122886681098,0.0,3.8066624897703196,6,11.849404844423074,7.3901814282264295,3.0,15.444721881581494,10.944929662589201,25.95288149495652,9.15957325492253,8.999125391527247,0.0,2.5649493574615367,3238.0
20,4.276666119016055,None,1.0986122886681098,Lvl,1.3862943611198906,Inside,1.0986122886681098,NAmes,Norm,1Fam,5,5.198497031265826,1.0986122886681098,CBlock,0.6931471805599453,0.6931471805599453,Y,1.0986122886681098,1.6094379124341003,0.0,1,2.0,1.0986122886681098,1.0986122886681098,0.0,0.0,5,11.863589378812122,7.773594467360194,2.0,15.657373772680378,12.03585948532911,0.0,0.0,9.382695764458287,0.0,2.3978952727983707,4752.0
20,4.257030144499196,None,1.3862943611198906,Lvl,1.3862943611198906,Inside,1.0986122886681098,OldTown,Artery,1Fam,5,0.0,1.0986122886681098,CBlock,0.6931471805599453,1.0986122886681098,Y,1.0986122886681098,1.6094379124341003,0.0,1,1.0,1.0986122886681098,1.0986122886681098,0.0,5.783825182329737,6,11.630717389475995,7.522400231387125,1.0,15.17155213359194,11.764631594304037,28.346321272397706,10.609081944147828,9.13140538388804,0.0,2.3978952727983707,3696.0
60,4.2626798770413155,None,1.0986122886681098,HLS,1.3862943611198906,Inside,0.6931471805599453,NAmes,Norm,1Fam,5,5.262690188904886,1.0986122886681098,PConc,1.0986122886681098,1.0986122886681098,Y,0.6931471805599453,1.6094379124341003,1.0986122886681098,1,2.0,1.0986122886681098,1.0986122886681098,5.817111159963204,0.0,9,11.813037464800539,8.045908742270779,2.5,15.877602588496616,12.294088101596984,0.0,0.0,9.65509029374725,4.948759890378168,2.3978952727983707,6240.0
